aux_scale_factor,e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,filename,num_cores,file_suffix,confidence,ddl_percentile,rt_percentile
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,,99.9,0.0338429617071862,0.0138627553540656
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,,99.99,0.0338430362882186,0.013863677205219
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,,90.0,0.0288875686617708,0.013099212770625
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,,95.0,0.0327920275368749,0.0131063755612499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,,99.0,0.032799869571875,0.0131510979630437
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,,99.9,0.032799869571875,0.0131575285496906
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,,99.99,0.032799869571875,0.013158450400844
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,,90.0,0.089803881365625,0.09789591590075
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,,95.0,0.0898110441562499,0.0989936392992187
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,,99.0,0.0898182069468749,0.0998746933311625
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,,99.9,0.0898182069468749,0.0999614012461899
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,,99.99,0.0898182069468749,0.0999685201185564
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,,90.0,0.0898037907997083,0.0974921502425625
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,,95.0,0.0898103649118749,0.0989929230201562
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,,99.0,0.0898110441562499,0.0999081547067999
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,,99.9,0.0898110441562499,0.0999864252083118
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,,99.99,0.0898110441562499,0.0999974198809561
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,,90.0,0.0898077714933749,0.0972584516196875
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,,95.0,0.0898110441562499,0.0989923456624374
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,,99.0,0.0898729027221666,0.0997045234792
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,,99.9,0.0898777734197916,0.099888025244105
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,,99.99,0.0898777734197916,0.099910694061848
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,,90.0,0.0898103649118749,0.0962412602911875
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,,95.0,0.0898182069468749,0.0971944063405624
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,,99.0,0.0898453284197291,0.0987607199473875
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,,99.9,0.0898477637685416,0.0990438275895037
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,,99.99,0.0898477637685416,0.0990523865061378
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,,90.0,0.089803881365625,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,,95.0,0.0898110441562499,0.095150153215375
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,,99.0,0.0898182069468749,0.09819323744225
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,,99.9,0.0898182069468749,0.0989739605077387
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,,99.99,0.0898182069468749,0.0989855472340863
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,,90.0,0.089803881365625,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,,99.0,0.0898182069468749,0.0972575204569062
